"VE_TOTAL","PERSONS","PEDS","NO_LANES","SP_LIMIT","FATALS","DRUNK_DR"
<node height="30.0">
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 1.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 0.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 0.0, 2.0, 45.0, 2.0, 0.0
1.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
1.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
3.0, 1.0, 0.0, 2.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 0.0
2.0, 3.0, 0.0, 3.0, 45.0, 1.0, 1.0
1.0, 3.0, 0.0, 3.0, 45.0, 1.0, 1.0
2.0, 3.0, 0.0, 3.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 3.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 2.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 2.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 2.0, 45.0, 1.0, 1.0
2.0, 2.0, 0.0, 3.0, 45.0, 1.0, 2.0
1.0, 2.0, 0.0, 3.0, 45.0, 1.0, 2.0
2.0, 2.0, 0.0, 2.0, 45.0, 1.0, 2.0
1.0, 2.0, 0.0, 2.0, 45.0, 1.0, 2.0
1.0, 1.0, 0.0, 4.0, 45.0, 1.0, 1.0
1.0, 2.0, 0.0, 4.0, 45.0, 1.0, 1.0
1.0, 2.0, 0.0, 4.0, 45.0, 1.0, 1.0
1.0, 1.0, 0.0, 4.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 4.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 3.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 3.0, 45.0, 1.0, 0.0
1.0, 1.0, 0.0, 3.0, 45.0, 1.0, 0.0
2.0, 3.0, 0.0, 5.0, 45.0, 1.0, 0.0
1.0, 2.0, 0.0, 5.0, 45.0, 1.0, 0.0
1.0, 2.0, 0.0, 4.0, 45.0, 2.0, 1.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 3.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 4.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 4.0, 45.0, 1.0, 1.0
2.0, 2.0, 0.0, 4.0, 45.0, 1.0, 1.0
2.0, 2.0, 0.0, 4.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 4.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 4.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 4.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 4.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 4.0, 45.0, 1.0, 0.0
1.0, 2.0, 1.0, 6.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 6.0, 45.0, 1.0, 1.0
1.0, 2.0, 1.0, 6.0, 45.0, 1.0, 1.0
2.0, 2.0, 0.0, 6.0, 45.0, 1.0, 0.0
2.0, 2.0, 0.0, 6.0, 45.0, 1.0, 1.0
1.0, 3.0, 2.0, 4.0, 45.0, 2.0, 0.0
1.0, 3.0, 2.0, 4.0, 45.0, 1.0, 0.0
1.0, 3.0, 1.0, 4.0, 45.0, 1.0, 1.0
1.0, 3.0, 1.0, 4.0, 45.0, 1.0, 1.0
1.0, 3.0, 1.0, 4.0, 45.0, 1.0, 0.0
1.0, 3.0, 1.0, 4.0, 45.0, 1.0, 0.0
3.0, 3.0, 0.0, 4.0, 45.0, 1.0, 1.0
2.0, 3.0, 0.0, 4.0, 45.0, 1.0, 1.0
3.0, 4.0, 0.0, 4.0, 45.0, 1.0, 0.0
2.0, 4.0, 0.0, 4.0, 45.0, 1.0, 0.0
2.0, 4.0, 0.0, 4.0, 45.0, 1.0, 0.0
2.0, 4.0, 0.0, 4.0, 45.0, 1.0, 0.0
<node height="37.0">
2.0, 3.0, 0.0, 9.0, 30.0, 1.0, 1.0
1.0, 2.0, 0.0, 9.0, 30.0, 1.0, 2.0
2.0, 2.0, 0.0, 9.0, 35.0, 1.0, 1.0
1.0, 2.0, 0.0, 9.0, 35.0, 1.0, 2.0
1.0, 2.0, 1.0, 9.0, 35.0, 1.0, 0.0
1.0, 2.0, 1.0, 9.0, 35.0, 1.0, 0.0
1.0, 2.0, 1.0, 9.0, 35.0, 1.0, 0.0
2.0, 1.0, 0.0, 9.0, 35.0, 1.0, 0.0
1.0, 1.0, 0.0, 9.0, 35.0, 1.0, 0.0
3.0, 3.0, 0.0, 6.0, 35.0, 1.0, 0.0
2.0, 3.0, 0.0, 6.0, 35.0, 1.0, 0.0
1.0, 1.0, 0.0, 6.0, 35.0, 1.0, 0.0
2.0, 2.0, 0.0, 6.0, 35.0, 1.0, 0.0
2.0, 2.0, 0.0, 6.0, 35.0, 1.0, 0.0
2.0, 3.0, 0.0, 6.0, 35.0, 2.0, 2.0
3.0, 3.0, 0.0, 6.0, 35.0, 1.0, 1.0
2.0, 4.0, 0.0, 6.0, 35.0, 1.0, 1.0
1.0, 2.0, 1.0, 6.0, 35.0, 1.0, 2.0
1.0, 2.0, 1.0, 7.0, 35.0, 1.0, 0.0
1.0, 3.0, 1.0, 6.0, 35.0, 1.0, 0.0
<node height="73.0">
1.0, 6.0, 5.0, 3.0, 35.0, 2.0, 0.0
2.0, 9.0, 0.0, 2.0, 35.0, 1.0, 1.0
2.0, 11.0, 0.0, 3.0, 40.0, 1.0, 0.0
2.0, 11.0, 0.0, 2.0, 40.0, 1.0, 2.0
3.0, 5.0, 0.0, 6.0, 35.0, 1.0, 0.0
5.0, 6.0, 0.0, 6.0, 35.0, 1.0, 0.0
4.0, 9.0, 0.0, 4.0, 40.0, 1.0, 1.0
5.0, 8.0, 0.0, 2.0, 40.0, 1.0, 1.0
3.0, 7.0, 0.0, 4.0, 40.0, 3.0, 4.0
5.0, 6.0, 0.0, 4.0, 40.0, 2.0, 1.0
3.0, 6.0, 0.0, 5.0, 40.0, 3.0, 0.0
2.0, 5.0, 0.0, 4.0, 40.0, 2.0, 0.0
2.0, 5.0, 0.0, 4.0, 40.0, 2.0, 0.0
3.0, 6.0, 0.0, 4.0, 40.0, 1.0, 0.0
2.0, 6.0, 0.0, 4.0, 40.0, 1.0, 0.0
3.0, 6.0, 0.0, 2.0, 40.0, 1.0, 0.0
3.0, 7.0, 0.0, 2.0, 40.0, 1.0, 0.0
2.0, 5.0, 0.0, 2.0, 40.0, 2.0, 1.0
3.0, 5.0, 0.0, 2.0, 40.0, 2.0, 0.0
5.0, 4.0, 0.0, 2.0, 40.0, 1.0, 1.0
3.0, 3.0, 2.0, 2.0, 40.0, 1.0, 1.0
1.0, 3.0, 2.0, 2.0, 40.0, 2.0, 0.0
1.0, 5.0, 0.0, 2.0, 40.0, 1.0, 0.0
1.0, 5.0, 0.0, 2.0, 40.0, 2.0, 0.0
1.0, 4.0, 1.0, 2.0, 40.0, 1.0, 0.0
1.0, 5.0, 1.0, 2.0, 40.0, 1.0, 0.0
1.0, 4.0, 0.0, 1.0, 40.0, 1.0, 1.0
2.0, 4.0, 0.0, 2.0, 40.0, 1.0, 1.0
2.0, 4.0, 0.0, 2.0, 40.0, 2.0, 0.0
